,Unnamed: 0,Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,Ad Topic Line,City,Male,Country,Timestamp,Clicked on Ad,Internet usage bucket
0,0,68.95,35,61833.9,256.09,Cloned 5thgeneration orchestration,Wrightburgh,0,Tunisia,3/27/2016 0:53,0,1
1,1,80.23,31,68441.85,193.77,Monitored national standardization,West Jodi,1,Nauru,4/4/2016 1:39,0,0
2,2,69.47,26,59785.94,236.5,Organic bottom-line service-desk,Davidton,0,San Marino,3/13/2016 20:35,0,1
3,3,74.15,29,54806.18,245.89,Triple-buffered reciprocal time-frame,West Terrifurt,1,Italy,1/10/2016 2:31,0,1
4,4,68.37,35,73889.99,225.58,Robust logistical utilization,South Manuel,0,Iceland,6/3/2016 3:36,0,1
5,5,59.99,23,59761.56,226.74,Sharable client-driven software,Jamieberg,1,Norway,5/19/2016 14:30,0,1
6,6,88.91,33,53852.85,208.36,Enhanced dedicated support,Brandonstad,0,Myanmar,1/28/2016 20:59,0,0
7,7,66.0,48,24593.33,131.76,Reactive local challenge,Port Jefferybury,1,Australia,3/7/2016 1:40,1,-1
8,8,74.53,30,68862.0,221.51,Configurable coherent function,West Colin,1,Grenada,4/18/2016 9:33,0,1
9,9,69.88,20,55642.32,183.82,Mandatory homogeneous architecture,Ramirezton,1,Ghana,7/11/2016 1:42,0,0
10,10,47.64,49,45632.51,122.02,Centralized neutral neural-net,West Brandonton,0,Qatar,3/16/2016 20:19,1,-1
11,11,83.07,37,62491.01,230.87,Team-oriented grid-enabled Local Area Network,East Theresashire,1,Burundi,5/8/2016 8:10,0,1
12,12,69.57,48,51636.92,113.12,Centralized content-based focus group,West Katiefurt,1,Egypt,6/3/2016 1:14,1,-1
13,13,79.52,24,51739.63,214.23,Synergistic fresh-thinking array,North Tara,0,Bosnia and Herzegovina,4/20/2016 21:49,0,0
14,14,42.95,33,30976.0,143.56,Grass-roots coherent extranet,West William,0,Barbados,3/24/2016 9:31,1,-1
15,15,63.45,23,52182.23,140.64,Persistent demand-driven interface,New Travistown,1,Spain,3/9/2016 3:41,1,-1
16,16,55.39,37,23936.86,129.41,Customizable multi-tasking website,West Dylanberg,0,Palestinian Territory,1/30/2016 19:20,1,-1
17,17,82.03,41,71511.08,187.53,Intuitive dynamic attitude,Pruittmouth,0,Afghanistan,5/2/2016 7:00,0,0
18,18,54.7,36,31087.54,118.39,Grass-roots solution-oriented conglomeration,Jessicastad,1,British Indian Ocean Territory (Chagos Archipelago),2/13/2016 7:53,1,-1
19,19,74.58,40,23821.72,135.51,Advanced 24/7 productivity,Millertown,1,Russian Federation,2/27/2016 4:43,1,-1
20,20,77.22,30,64802.33,224.44,Object-based reciprocal knowledgebase,Port Jacqueline,1,Cameroon,1/5/2016 7:52,0,1
21,21,84.59,35,60015.57,226.54,Streamlined non-volatile analyzer,Lake Nicole,1,Cameroon,3/18/2016 13:22,0,1
22,22,41.49,52,32635.7,164.83,Mandatory disintermediate utilization,South John,0,Burundi,5/20/2016 8:49,1,0
23,23,87.29,36,61628.72,209.93,Future-proofed methodical protocol,Pamelamouth,1,Korea,3/23/2016 9:43,0,0
24,24,41.39,41,68962.32,167.22,Exclusive neutral parallelism,Harperborough,0,Tokelau,6/13/2016 17:27,1,0
25,25,78.74,28,64828.0,204.79,Public-key foreground groupware,Port Danielleberg,1,Monaco,5/27/2016 15:25,0,0
26,26,48.53,28,38067.08,134.14,Ameliorated client-driven forecast,West Jeremyside,1,Tuvalu,2/8/2016 10:46,1,-1
